"","Survey.year","Haul.ID","Bottom.temperature..degrees.Celsius.","Surface.temperature..degrees.Celsius.","Depth..m.","Start.latitude..decimal.degrees.","Start.longitude..decimal.degrees.","Day.of.year","blooms_north","blooms_south","north_ice_free","north_ice_full","south_ice_free","south_ice_full","JanFeb_ice","MarApr_ice","JMarApr_ice","log_density"
"1",1998,937214,-0.721647425626042,0.617070438070572,-0.229456739677816,0.687752637652103,-0.537566103630353,0.955086350340561,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,0.735200213749173
"2",1998,937215,-0.721647425626042,0.906858607165445,-0.316392488211663,0.852028796787075,-0.548996023109992,0.955086350340561,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,1.10256271856825
"3",1998,937216,-0.545936702285931,0.906858607165445,-0.432306819590124,1.01651374995091,-0.56603331408458,0.955086350340561,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,1.1748411210503
"4",1998,937217,-0.282370617275766,0.865460297294749,-0.548221150968586,1.18243043359835,-0.576163652784613,0.955086350340561,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,1.56507391399377
"5",1998,937218,-0.94128582980118,0.948256917036141,-0.403328236745509,1.1913439501161,-0.71456900581251,0.955086350340561,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,1.36347558430105
"6",1998,937219,-0.589864383120959,0.368680578846394,-0.403328236745509,1.19069768288391,-0.856478966024749,1.00735983857571,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,1.16748640600758
"7",1998,937220,-0.897358148966152,0.368680578846394,-0.0845638254547393,1.19192559062506,-0.998725538963507,1.00735983857571,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,1.36630359823899
"8",1998,937221,-0.545936702285931,0.534273818329179,0.147264837302184,1.18988736320048,-1.14567190731179,1.00735983857571,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,1.11915622568505
"9",1998,937223,-0.0627322131006275,NA,1.07457948832988,0.198389146868976,-1.04681854965006,1.16418030328115,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,1.34827119563955
"10",1998,937224,-0.414153659780848,0.824061987424053,0.523986414282184,0.694901347497345,-1.09492647355867,1.05963332681085,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,1.04448651281944
